"code_commune_INSEE","nom_commune","latitude","longitude","code_departement","code_region"
"01321","Revonnas",46.1615355815,5.33543916388,"01","84"
"01322","Reyrieux",45.9367652442,4.82840395968,"01","84"
"01323","Reyssouze",46.4285569061,4.91285056272,"01","84"
"01325","Rignieux-le-Franc",45.9518762734,5.16936671105,"01","84"
"01328","Romans",46.1237520756,5.0217131176,"01","84"
"01329","Rossillon",45.8363854589,5.59926863007,"01","84"
"01330","Ruffieu",46.0037108867,5.65322391497,"01","84"
"01331","Saint-Alban",46.0983335519,5.45573839846,"01","84"
"01332","Saint-André-de-Bâgé",46.298541568,4.91411565769,"01","84"
"01333","Saint-André-de-Corcy",45.927001954,4.95373324492,"01","84"
"01334","Saint-André-d'Huiriat",46.2140960915,4.91291358797,"01","84"
"01335","Saint-André-le-Bouchoux",46.1131399612,5.0802376895,"01","84"
"01336","Saint-André-sur-Vieux-Jonc",46.1492410532,5.14175200148,"01","84"
"01337","Saint-Bénigne",46.4519173207,4.95309825903,"01","84"
"01338","Groslée-Saint-Benoit",45.6891842277,5.5843972561,"01","84"
"01339","Saint-Bernard",45.9493830581,4.74276628471,"01","84"
"01341","Saint-Champ",45.7825741014,5.7326531461,"01","84"
"01342","Sainte-Croix",45.895522477,5.04935536228,"01","84"
"01343","Saint-Cyr-sur-Menthon",46.2754005606,4.96757105158,"01","84"
"01344","Saint-Denis-lès-Bourg",46.2111998453,5.18462806771,"01","84"
"01345","Saint-Denis-en-Bugey",45.9488551151,5.32367701698,"01","84"
"01346","Saint-Didier-d'Aussiat",46.3069992095,5.05820697692,"01","84"
"01347","Saint-Didier-de-Formans",45.9564926067,4.77766764875,"01","84"
"01348","Saint-Didier-sur-Chalaronne",46.1840408682,4.81645666173,"01","84"
"01349","Saint-Éloi",45.9322494861,5.15187041178,"01","84"
"01350","Saint-Étienne-du-Bois",46.2749447261,5.28428557632,"01","84"
"01351","Saint-Étienne-sur-Chalaronne",46.1468059584,4.86696454244,"01","84"
"01352","Saint-Étienne-sur-Reyssouze",46.4030398952,5.00605581573,"01","84"
"01353","Sainte-Euphémie",45.9669798317,4.79478189169,"01","84"
"01354","Saint-Genis-Pouilly",46.254539333,6.0362907345,"01","84"
"01355","Saint-Genis-sur-Menthon",46.2815955593,5.01311826405,"01","84"
"01356","Saint-Georges-sur-Renon",46.1037951263,5.03001967494,"01","84"
"01357","Saint-Germain-de-Joux",46.1821955394,5.74672259773,"01","84"
"01358","Saint-Germain-les-Paroisses",45.7709749249,5.61753440834,"01","84"
"01359","Saint-Germain-sur-Renon",46.0797285417,5.06090903982,"01","84"
"01360","Saint-Jean-de-Gonville",46.2178585727,5.94203093769,"01","84"
"01361","Saint-Jean-de-Niost",45.8405002569,5.21167430462,"01","84"
"01362","Saint-Jean-de-Thurigneux",45.9598424323,4.89936410681,"01","84"
"01363","Saint-Jean-le-Vieux",46.0291437714,5.38252835538,"01","84"
"01364","Saint-Jean-sur-Reyssouze",46.3972479854,5.06297763777,"01","84"
"01365","Saint-Jean-sur-Veyle",46.2683632132,4.92198366998,"01","84"
"01366","Sainte-Julie",45.8819723176,5.28452304614,"01","84"
"01367","Saint-Julien-sur-Reyssouze",46.3997655501,5.10354296019,"01","84"
"01368","Saint-Julien-sur-Veyle",46.2014862081,4.959356342,"01","84"
"01369","Saint-Just",46.1929758576,5.28494181398,"01","84"
"01370","Saint-Laurent-sur-Saône",46.3051486294,4.83949202669,"01","84"
"01371","Saint-Marcel",45.9485803654,4.9896671017,"01","84"
"01372","Saint-Martin-de-Bavel",45.848212674,5.67889099153,"01","84"
"01373","Saint-Martin-du-Frêne",46.135983782,5.57106016428,"01","84"
"01374","Saint-Martin-du-Mont",46.1061500835,5.32551470817,"01","84"
"01375","Saint-Martin-le-Châtel",46.291445874,5.12291715091,"01","84"
"01376","Saint-Maurice-de-Beynost",45.8343709108,4.97726215174,"01","84"
